code	value_en	synonyms	description_en	parents	codesystem	description_code
C09.8	Overlapping lesion of tonsil	NA		C09	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C09.8
C54.1	Endometrium	NA		C54	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C54.1
C44.0	Skin of lip, NOS	NA		C44	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C44.0
C63.8	Overlapping lesion of male genital organs	NA		C63	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C63.8
C72.0	Spinal cord	NA		C72	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C72.0
C11.0	Superior wall of nasopharynx	NA		C11	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C11.0
C11.2	Lateral wall of nasopharynx	NA		C11	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C11.2
C53	CERVIX UTERI	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C53
C31.0	Maxillary sinus	NA		C31	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C31.0
C20.9	Rectum, NOS	NA		C20	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C20.9
C20	RECTUM	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C20
C68.9	Urinary system, NOS	NA		C68	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C68.9
C53.0	Endocervix	NA		C53	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C53.0
C63.2	Scrotum, NOS	NA		C63	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C63.2
C25.8	Overlapping lesion of pancreas	NA		C25	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C25.8
C70.1	Spinal meninges	NA		C70	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C70.1
C08	OTHER AND UNSPECIFIED MAJOR SALIVARY GLANDS	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C08
C02.4	Lingual tonsil	NA		C02	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C02.4
C71.5	Ventricle, NOS	NA		C71	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C71.5
C62.9	Testis, NOS	NA		C62	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C62.9
C10.1	Anterior surface of epiglottis	NA		C10	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C10.1
C62	TESTIS	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C62
C01.9	Base of tongue, NOS	NA		C01	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C01.9
C03.1	Lower gum	NA		C03	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C03.1
C69	EYE AND ADNEXA	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C69
C08.9	Major salivary gland, NOS	NA		C08	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C08.9
C72.2	Olfactory nerve	NA		C72	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C72.2
C53.9	Cervix uteri	NA		C53	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C53.9
C13.2	Posterior wall of hypopharynx	NA		C13	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C13.2
C11.3	Anterior wall of nasopharynx	NA		C11	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C11.3
C10.8	Overlapping lesions of oropharynx	NA		C10	ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C10.8
C21	ANUS AND ANAL CANAL	NA			ICD-O-3-T	https://bioportal.bioontology.org/ontologies/ICD-O-3-T/C21
