name	label	description	entity	dataType	refEntity	nillable	unique	visible	idAttribute	labelAttribute	readOnly	aggregateable	lookupAttribute	enumOptions	partOfAttribute	rangeMax	rangeMin	mappedBy	expression	validationExpression	defaultValue	tags	auto	label-en	description-en	label-nl	description-nl	label-de	description-de	label-es	description-es	label-it	description-it	label-pt	description-pt	label-fr	description-fr	label-xx	description-xx
id	id		malignancy	string		FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE										TRUE																
malignancyLabel	malignancyLabel		malignancy	string		FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE						"{""template"":""Malignancy-{{malignancyType.code}}-{{malignancyMorph.code}}""}"				FALSE																
inclCriteria	Inclusion criteria	Which criteria does the patient fullfill to be included in the registry?	malignancy	categorical	genturis_inclusionCriteria	FALSE	FALSE	TRUE	FALSE		FALSE	FALSE	FALSE										FALSE																
ageDiagnosisKnown	Age at diagnosis (malignancy) available?	Is the age (years) at which the patient was diagnosed with this malignancy known?	malignancy	enum		FALSE	FALSE	TRUE	FALSE		FALSE	FALSE	FALSE	Yes, Unknown									FALSE																
ageDiagnosis	Age at diagnosis (malignancy)	At what age (years) was the patient diagnosed with this malignancy?	malignancy	int		$('ageDiagnosisKnown').eq('Unknown').value()	FALSE	$('ageDiagnosisKnown').eq('Yes').value()	FALSE		FALSE	FALSE	FALSE			120	0						FALSE																
malignancyType	Malignancy type	Where is the malignancy located?	malignancy	xref	genturis_codebook2_icdO3T	FALSE	FALSE	TRUE	FALSE		FALSE	FALSE	FALSE										FALSE																
malignancyMorph	Malignancy morphology	What is the morphology of this malignancy?	malignancy	xref	genturis_codebook2_icdO3M	FALSE	FALSE	TRUE	FALSE		FALSE	FALSE	FALSE										FALSE																
ERreceptor	ER receptor status	What is the Estrogen receptor status of the breast cancer?	malignancy	categorical	genturis_receptorStatus		FALSE	$('malignancyType').eq('C50').value() || $('malignancyType').eq('C50.0').value() || $('malignancyType').eq('C50.1').value() || $('malignancyType').eq('C50.2').value() || $('malignancyType').eq('C50.3').value() || $('malignancyType').eq('C50.4').value() || $('malignancyType').eq('C50.5').value() || $('malignancyType').eq('C50.6').value() || $('malignancyType').eq('C50.8').value() || $('malignancyType').eq('C50.9').value()	FALSE		FALSE	FALSE	FALSE										FALSE																
PRreceptor	PR receptor status	What is the Progesteron receptor status of the breast cancer?	malignancy	categorical	genturis_receptorStatus		FALSE	$('malignancyType').eq('C50').value() || $('malignancyType').eq('C50.0').value() || $('malignancyType').eq('C50.1').value() || $('malignancyType').eq('C50.2').value() || $('malignancyType').eq('C50.3').value() || $('malignancyType').eq('C50.4').value() || $('malignancyType').eq('C50.5').value() || $('malignancyType').eq('C50.6').value() || $('malignancyType').eq('C50.8').value() || $('malignancyType').eq('C50.9').value()	FALSE		FALSE	FALSE	FALSE										FALSE																
Her2NeuReceptor	Her2Neu receptor status	What is the Her2Neu receptor status of the breast cancer?	malignancy	categorical	genturis_receptorStatus		FALSE	$('malignancyType').eq('C50').value() || $('malignancyType').eq('C50.0').value() || $('malignancyType').eq('C50.1').value() || $('malignancyType').eq('C50.2').value() || $('malignancyType').eq('C50.3').value() || $('malignancyType').eq('C50.4').value() || $('malignancyType').eq('C50.5').value() || $('malignancyType').eq('C50.6').value() || $('malignancyType').eq('C50.8').value() || $('malignancyType').eq('C50.9').value()	FALSE		FALSE	FALSE	FALSE										FALSE																
laterality	Laterality	What is the laterality of the breast cancer?	malignancy	categorical	genturis_codebook1_laterality		FALSE	$('malignancyType').eq('C50').value() || $('malignancyType').eq('C50.0').value() || $('malignancyType').eq('C50.1').value() || $('malignancyType').eq('C50.2').value() || $('malignancyType').eq('C50.3').value() || $('malignancyType').eq('C50.4').value() || $('malignancyType').eq('C50.5').value() || $('malignancyType').eq('C50.6').value() || $('malignancyType').eq('C50.8').value() || $('malignancyType').eq('C50.9').value()	FALSE		FALSE	FALSE	FALSE										FALSE																
mammoDensity	Mammographic density	What is the mammographic density?	malignancy	categorical	genturis_BI-RADS		FALSE	$('malignancyType').eq('C50').value() || $('malignancyType').eq('C50.0').value() || $('malignancyType').eq('C50.1').value() || $('malignancyType').eq('C50.2').value() || $('malignancyType').eq('C50.3').value() || $('malignancyType').eq('C50.4').value() || $('malignancyType').eq('C50.5').value() || $('malignancyType').eq('C50.6').value() || $('malignancyType').eq('C50.8').value() || $('malignancyType').eq('C50.9').value()	FALSE		FALSE	FALSE	FALSE										FALSE																
diagnosisSource	Diagnosis source	What is the level of evidence for the diagnosis?	malignancy	xref	genturis_diagnosisSource	FALSE	FALSE	TRUE	FALSE		FALSE	FALSE	FALSE										FALSE																
MMRtumour	MMR tumour diagnostics	Has IHC of the MMR protein or microsatellite instability analyses been performed?	malignancy	enum		$('inclCriteria').eq('1').value() || $('inclCriteria').eq('2').value()	FALSE	TRUE	FALSE		FALSE	FALSE	FALSE	Yes, No, Unknown									FALSE																
MMR_IHC	MMR IHC status	What are the results of the IHC of the MMR proteins?	malignancy	enum		$('MMRtumour').eq('Yes').not().value() || $('inclCriteria').eq('1').value() || $('inclCriteria').eq('2').value()	FALSE	$('MMRtumour').eq('Yes').value()	FALSE		FALSE	FALSE	FALSE	Test not performed, Normal, Loss of MLH1, Loss of PMS2 only, Loss of MSH2, Loss of MSH6 only, Other staining pattern, Unclear result, Unknown									FALSE																
MMR_MSA	MMR MSA status	What are the results of the MSA of the tumour DNA?	malignancy	enum		$('MMRtumour').eq('Yes').not().value() || $('inclCriteria').eq('1').value() || $('inclCriteria').eq('2').value()	FALSE	$('MMRtumour').eq('Yes').value()	FALSE		FALSE	FALSE	FALSE	Test not performed, Normal (MSS or MSI-L), MSI-high, Unclear result, Unknown									FALSE																
MLH1promotor	MLH1 promoter hypermethylation or tumour BRAF V600E status	Has MLH1 promoter hypermethylation testing or tumour BRAF V600E mutation analyses been performed?	malignancy	enum		$('MMRtumour').eq('Yes').not().value() || $('inclCriteria').eq('1').value() || $('inclCriteria').eq('2').value()	FALSE	$('MMRtumour').eq('Yes').value()	FALSE		FALSE	FALSE	FALSE	Test not performed, MLH1 promoter hypermethylation, No MLH1 promoter hypermethylation, Unclear MLH1 promoter methylation pattern, BRAF V600E tumour mutation present, No BRAF V600E tumour mutation present									FALSE																
somaticBialelicMMR	Somatic biallelic MMR mutation status	What are the results of the somatic MMR mutation analysis?	malignancy	enum		$('MMRtumour').eq('Yes').not().value() || $('inclCriteria').eq('1').value() || $('inclCriteria').eq('2').value()	FALSE	$('MMRtumour').eq('Yes').value()	FALSE		FALSE	FALSE	FALSE	Test not performed, Biallelic somatic mutations present, No biallelic somatic mutations present									FALSE																
