code	value_en	synonyms	description_en	codesystem	description_code	parents
HP_0001129	Large central visual field defect	Large central loss of field of vision	NA	HPO	http://purl.obolibrary.org/obo/HP_0001123	HP_0001123
HP_0001133	Constriction of peripheral visual field	Constricted visual field,Concentric narrowing of visual field,Limited peripheral vision,Visual field constriction,Constricted visual fields	An absolute or relative decrease in retinal sensitivity extending from edge (periphery) of the visual field in a concentric pattern. The visual field is the area that is perceived simultaneously by a fixating eye.	HPO	http://purl.obolibrary.org/obo/HP_0001123	HP_0001123
HP_0000044	Hypogonadotrophic hypogonadism	Low gonadotropins (secondary hypogonadism),Hypogonadism, hypogonadotropic,Isolated hypogonadotropic hypogonadism	Hypogonadotropic hypogonadism is characterized by reduced function of the gonads (testes in males or ovaries in females) and results from the absence of the gonadal stimulating pituitary hormones: follicle stimulating hormone (FSH) and luteinizing hormone (LH).	HPO	http://purl.obolibrary.org/obo/HP_0000135	HP_0000135
HP_0001132	Lens subluxation	Partially dislocated lens	Partial dislocation of the lens of the eye.,Partial dislocation of the lens of the eye can be recognized by trembling of the iris (iridodonesis).	HPO	http://purl.obolibrary.org/obo/HP_0001083	HP_0001083
HP_0000045	Abnormality of the scrotum	NA	NA	HPO	http://purl.obolibrary.org/obo/HP_0000032	HP_0000032
HP_0000287	Increased facial adipose tissue	Increased volume of facial adipose tissue,Increased amount of facial adipose tissue,Increased amount of facial fat,Hypertrophy of facial adipose tissue,Hyperplasia of facial adipose tissue,Facial fat hypertrophy,Facial fat hyperplasia	An increased amount of subcutaneous fat tissue in the face.	HPO	http://purl.obolibrary.org/obo/HP_0000291	HP_0000291
HP_0001135	Chorioretinal dystrophy	NA	NA	HPO	http://purl.obolibrary.org/obo/HP_0000556,http://purl.obolibrary.org/obo/HP_0000532	HP_0000556,HP_0000532
HP_0000046	Scrotal hypoplasia	Smaller than typical growth of scrotum,Hypoplastic scrotum	NA	HPO	http://purl.obolibrary.org/obo/HP_0000045,http://purl.obolibrary.org/obo/HP_0000050	HP_0000045,HP_0000050
HP_0000288	Abnormality of the philtrum	Abnormality of the paralabial region,Abnormality of the infranasal depression,Abnormal philtrum	An abnormality of the philtrum.,The paralabial region is the region surrounding the lips and includes the philtrum.	HPO	http://purl.obolibrary.org/obo/HP_0000177	HP_0000177
HP_0001134	Anterior polar cataract	NA	A polar cataract that affects the anterior pole of the lens.	HPO	http://purl.obolibrary.org/obo/HP_0010696	HP_0010696
HP_0000047	Hypospadias	Hypospadia	Abnormal position of urethral meatus on the ventral penile shaft (underside) characterized by displacement of the urethral meatus from the tip of the glans penis to the ventral surface of the penis, scrotum, or perineum.	HPO	http://purl.obolibrary.org/obo/HP_0100627	HP_0100627
HP_0000289	Broad philtrum	Increased horizontal dimension of philtrum,Increased transverse dimension of philtrum,Increased width of philtrum,Increased breadth of philtrum,Wide philtrum	Distance between the philtral ridges, measured just above the vermilion border, more than 2 standard deviations above the mean, or alternatively, an apparently increased distance between the ridges of the philtrum.,The mean width of the philtrum was found to be 7 mm in infants by Franz and Sokol [1971] and 9.7 mm in adults by Ward and Jamison [1991]. Measuring width of the philtrum is even more inaccurate than measuring length (vide supra). A broad philtrum may be associated with reduced ridge prominence or a shallow groove, a Smooth philtrum, which should be assessed and coded separately. It may be found with a broad nasal septum.	HPO	http://purl.obolibrary.org/obo/HP_0000288	HP_0000288
HP_0001137	Alternating esotropia	Alternating cross eyes	Esotropia in which either eye may be used for fixation.,Alternating suggests that the patient may be using either eye to fixate (which means that you do not have the same one eye squinting all the time).	HPO	http://purl.obolibrary.org/obo/HP_0000565	HP_0000565
HP_0000048	Bifid scrotum	Cleft of scrotum,Scrotal cleft	Midline indentation or cleft of the scrotum.,A testis may or may not be present in each half of the scrotum.	HPO	http://purl.obolibrary.org/obo/HP_0000045	HP_0000045
HP_0001136	Retinal arteriolar tortuosity	Tortuous retinal arterioles	The presence of an increased number of twists and turns of the retinal arterioles.	HPO	http://purl.obolibrary.org/obo/HP_0000630,http://purl.obolibrary.org/obo/HP_0012841	HP_0000630,HP_0012841
HP_0000049	Shawl scrotum	Overriding scrotum,Scrotum surrounds penis	Superior margin of the scrotum superior to the base of the penis.,A congenital overriding scrotum may disappear with growth and development, especially during puberty. If the entire scrotum is located superior to the penis, the term Penoscrotal transposition is used instead.	HPO	http://purl.obolibrary.org/obo/HP_0000045	HP_0000045
HP_0001139	Choroideremia	NA	NA	HPO	http://purl.obolibrary.org/obo/HP_0000610	HP_0000610
HP_0001138	Optic neuropathy	Damaged optic nerve	NA	HPO	http://purl.obolibrary.org/obo/HP_0000587	HP_0000587
HP_0000280	Coarse facial features	Coarse facial features,Coarse face,Coarse facial appearance,Coarse facies,Thickened facial skin with coarse facial features,Rounded and heavy facial features	Absence of fine and sharp appearance of brows, nose, lips, mouth, and chin, usually because of rounded and heavy features or thickened skin with or without thickening of subcutaneous and bony tissues.	HPO	http://purl.obolibrary.org/obo/HP_0001999	HP_0001999
HP_0000040	Long penis	Enlarged penis,Long penis	Penile length more than 2 SD above the mean for age.,Penile length is the distance between the midline attachment of the gently stretched, flaccid penis above the pubic symphysis and tip of the glans.	HPO	http://purl.obolibrary.org/obo/HP_0000036	HP_0000036
HP_0000282	Facial edema	Facial puffiness,Facial swelling	NA	HPO	http://purl.obolibrary.org/obo/HP_0011799,http://purl.obolibrary.org/obo/HP_0000969	HP_0011799,HP_0000969
HP_0001131	Corneal dystrophy	NA	An abnormality of the cornea that is characterized by opacity of one or parts of the cornea.	HPO	http://purl.obolibrary.org/obo/HP_0000481	HP_0000481
