"value_en"	"description_en"	"codesystem"	"code"	"description_code"
"urn:miriam:icd:A00"	"Cholera"	"ICD-10"	"Cholera"	"http://identifiers.org/icd/A00"
"urn:miriam:icd:A00.0"	"Cholera due to Vibrio cholerae 01	 biovar cholerae"	"ICD-10"	"Cholera due to Vibrio cholerae 01	 biovar cholerae"	"http://identifiers.org/icd/A00.0"
"urn:miriam:icd:A00.1"	"Cholera due to Vibrio cholerae 01	 biovar eltor"	"ICD-10"	"Cholera due to Vibrio cholerae 01	 biovar eltor"	"http://identifiers.org/icd/A00.1"
"urn:miriam:icd:A00.9"	"Cholera	 unspecified"	"ICD-10"	"Cholera	 unspecified"	"http://identifiers.org/icd/A00.9"
"urn:miriam:icd:A00-A09"	"Intestinal infectious diseases"	"ICD-10"	"Intestinal infectious diseases"	"NA"
"urn:miriam:icd:A01"	"Typhoid and paratyphoid fevers"	"ICD-10"	"Typhoid and paratyphoid fevers"	"http://identifiers.org/icd/A01"
"urn:miriam:icd:A01.0"	"Typhoid fever"	"ICD-10"	"Typhoid fever"	"http://identifiers.org/icd/A01.0"
"urn:miriam:icd:A01.1"	"Paratyphoid fever A"	"ICD-10"	"Paratyphoid fever A"	"http://identifiers.org/icd/A01.1"
"urn:miriam:icd:A01.2"	"Paratyphoid fever B"	"ICD-10"	"Paratyphoid fever B"	"http://identifiers.org/icd/A01.2"
"urn:miriam:icd:A01.3"	"Paratyphoid fever C"	"ICD-10"	"Paratyphoid fever C"	"http://identifiers.org/icd/A01.3"
"urn:miriam:icd:A01.4"	"Paratyphoid fever	 unspecified"	"ICD-10"	"Paratyphoid fever	 unspecified"	"http://identifiers.org/icd/A01.4"
"urn:miriam:icd:A02"	"Other salmonella infections"	"ICD-10"	"Other salmonella infections"	"http://identifiers.org/icd/A02"
"urn:miriam:icd:A02.0"	"Salmonella enteritis"	"ICD-10"	"Salmonella enteritis"	"http://identifiers.org/icd/A02.0"
"urn:miriam:icd:A02.1"	"Salmonella sepsis"	"ICD-10"	"Salmonella sepsis"	"http://identifiers.org/icd/A02.1"
"urn:miriam:icd:A02.2"	"Localized salmonella infections"	"ICD-10"	"Localized salmonella infections"	"http://identifiers.org/icd/A02.2"
"urn:miriam:icd:A02.8"	"Other specified salmonella infections"	"ICD-10"	"Other specified salmonella infections"	"http://identifiers.org/icd/A02.8"
"urn:miriam:icd:A02.9"	"Salmonella infection	 unspecified"	"ICD-10"	"Salmonella infection	 unspecified"	"http://identifiers.org/icd/A02.9"
"urn:miriam:icd:A03"	"Shigellosis"	"ICD-10"	"Shigellosis"	"http://identifiers.org/icd/A03"
"urn:miriam:icd:A03.0"	"Shigellosis due to Shigella dysenteriae"	"ICD-10"	"Shigellosis due to Shigella dysenteriae"	"http://identifiers.org/icd/A03.0"
