value_en	description_en	codesystem	code	description_code
Point Mutation	A small-scale mutation in which a single nucleotide is exchanged for another. Mutagenic chemicals and mistakes in DNA replication may result in point mutations.	NCIT	ncit:C62200	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62200
Regulatory Region Mutation	A change in the nucleotide sequence of a regulatory region for a gene.	NCIT	ncit:C148646	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C148646
Embryonic Lethal Mutation	Any mutation that results in the embryonic death of the organism carrying the mutation.	NCIT	ncit:C19583	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19583
Intergenic Mutation	A change in the nucleotide sequence of a region between gene loci.	NCIT	ncit:C148642	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C148642
Nucleotide Substitution Site	The nucleotide position that is substituted in a nucleic acid variant.	NCIT	ncit:C157224	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C157224
Deleterious Mutation		NCIT	ncit:C93102	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C93102
Null Allele		NCIT	ncit:C93103	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C93103
Bistrand Abasic Site	Location on a DNA strand where the phosphate backbone is intact but the nitrogenous base has been lost from both DNA strands.	NCIT	ncit:C19572	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19572
Inframe Mutation	Any mutation occurring within the protein-coding region of a gene, and which results in a retention of the reading frame of the encoded protein.	NCIT	ncit:C62199	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62199
Frameshift Mutation	A mutation occurring within the protein-coding region of a gene which results in a shift in the reading frame of the encoded protein. Frameshift mutations often result in the premature truncation of a gene product.	NCIT	ncit:C17354	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17354
Somatic Mutation	Any mutation with an origin in cells that are not destined to become gametes. As a consequence, such mutations are not transmitted to progeny, though they will be transmitted during any mitosis within the individual. Somatic mutations may contribute to a broad variety of pathologies including cancer.	NCIT	ncit:C18060	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18060
Disease-causing Mutation		NCIT	ncit:C93100	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C93100
Deletion Mutation	Any rearrangement to the genomic content that results in the loss of one or more nucleotides of DNA. Deletions are generally irreversible rearrangements. They may alter the reading frame of a gene, or may result in loss of large chromosomal regions.	NCIT	ncit:C19296	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19296
Insertion Mutation	Any rearrangement to the genomic content that adds one or more extra nucleotides into the DNA. Insertions may be reversible, particulary if caused by transposable elements. They may alter the reading frame of a gene, or may cause large scale additions of genomic DNA.	NCIT	ncit:C19295	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19295
